custid,gender,age,age_cat,debtinc,card,carditems,cardspent,cardtype,creddebt,commute,commutetime,card2,card2items,card2spent,card2type,marital,homeown,hometype,cars,carown,region,ed_cat,ed_years,job_cat,employ_years,emp_cat,retire,annual_income,inc_cat
4166-WEDNXN-5RK,Male,21,18-24,9.2,Discover,9,196.56,Platinum,0.77,Train/Subway,25,Mastercard,3,89.2,None,Unmarried,Rent,Multiple-Family,2,Own,Zone 5,Some college,16,Service,0,Less than 2,No,31000.00,$25 - $49
4643-WSLHBV-DM5,Male,53,50-64,9.4,Discover,12,1010.34,None,15.46,Car,29,Visa,5,285.59,None,Unmarried,Own,Single-family,2,Own,Zone 2,Post-undergraduate degree,21,Service,19,More than 15,No,284000.00,$125+
1441-JNZRPW-8KQ,Female,30,25-34,2.1,Visa,12,221.56,Platinum,0.19,Bus,34,Mastercard,6,133.45,Gold,Unmarried,Own,Mobile Home,3,Own,Zone 3,High school degree,13,"Operation, Fabrication, General Labor",8,6 to 10,No,49000.00,$25 - $49
5811-BKUTYY-F7I,Female,58,50-64,7.6,Mastercard,4,65.08,None,0.08,Carpool,20,Discover,6,57.7,Other,Unmarried,Rent,Multiple-Family,1,Own,Zone 2,College degree,19,"Operation, Fabrication, General Labor",18,More than 15,Yes,15000.00,Under $25
0926-OZQUQX-GXA,Male,35,35-49,2.3,Discover,12,192.19,Platinum,0.25,Walk,24,Mastercard,8,153.43,None,Married,Own,Single-family,1,Own,Zone 2,Did not complete high school,11,Managerial and Professional,5,2 to 5,No,17000.00,Under $25
5007-HXEVVL-NW5,Female,48,35-49,11.3,Discover,8,220.46,None,4.82,Carpool,26,Mastercard,2,73.36,Gold,Married,Own,Condominium/Townhouse,1,Own,Zone 3,High school degree,14,Managerial and Professional,14,11 to 15,No,83000.00,$75 - $124
8101-YOBRYX-REF,Female,57,50-64,34.2,Mastercard,12,371.81,Platinum,1.12,Car,18,Other,2,100.91,Other,Unmarried,Own,Single-family,4,Own,Zone 3,Some college,15,Managerial and Professional,8,6 to 10,No,82000.00,$75 - $124
8267-UTARFV-TZK,Female,61,50-64,2.3,American Express,10,415.8,Other,0.54,Other public transit,23,Discover,9,378.38,None,Married,Own,Single-family,0,N/A,Zone 4,Post-undergraduate degree,20,Service,11,11 to 15,No,62000.00,$50 - $74
4432-KMTQXO-788,Female,56,50-64,7,Discover,10,693.8,Platinum,4.47,Car,19,American Express,7,325.96,None,Married,Rent,Multiple-Family,5,Own,Zone 5,College degree,19,Managerial and Professional,6,6 to 10,No,138000.00,$125+
9172-WITHKP-BXZ,Female,29,25-34,5.7,Mastercard,15,363,Gold,1.08,Car,20,Visa,11,344.38,Other,Married,Rent,Multiple-Family,3,Lease,Zone 2,College degree,17,Sales and Office,1,Less than 2,No,35000.00,$25 - $49
1114-UELZXT-QT7,Female,68,>65,12.2,American Express,4,145.59,Gold,0.74,Car,19,Visa,9,313.28,None,Married,Rent,Multiple-Family,2,Own,Zone 4,Did not complete high school,11,Agricultural and Natural Resources,36,More than 15,Yes,35000.00,$25 - $49
0992-DNDKIT-CUP,Male,22,18-24,5.2,Discover,16,482.3,Platinum,0.28,Bus,19,American Express,6,110.53,None,Married,Rent,Multiple-Family,0,N/A,Zone 5,Some college,16,"Operation, Fabrication, General Labor",0,Less than 2,No,20000.00,Under $25
2654-JRLXAI-HC7,Female,46,35-49,7.7,Visa,7,138.95,Gold,0.48,Train/Subway,26,American Express,6,108.01,None,Unmarried,Rent,Multiple-Family,2,Own,Zone 2,Did not complete high school,10,Managerial and Professional,5,2 to 5,No,25000.00,$25 - $49
0405-BACHZT-AYK,Male,24,18-24,3.9,Discover,12,188.52,Other,0.43,Car,30,Mastercard,5,96.12,Platinum,Married,Own,Condominium/Townhouse,2,Own,Zone 4,College degree,17,Managerial and Professional,0,Less than 2,No,33000.00,$25 - $49
4939-KCMADL-HLM,Female,78,>65,23.1,Visa,11,176.2,Platinum,3.17,Other public transit,22,Mastercard,7,120.6,Platinum,Married,Rent,Multiple-Family,1,Lease,Zone 3,Some college,16,Sales and Office,18,More than 15,Yes,32000.00,$25 - $49
4724-UVMKNV-Z1I,Male,73,>65,3,American Express,11,303.73,None,0.3,Car,19,Mastercard,2,67.22,Gold,Married,Rent,Multiple-Family,2,Lease,Zone 2,Did not complete high school,10,Managerial and Professional,31,More than 15,Yes,16000.00,Under $25
4231-HZEXGK-HRI,Female,26,25-34,3.9,Discover,14,410.78,Platinum,0.39,Car,33,Mastercard,3,109.96,None,Unmarried,Rent,Single-family,2,Own,Zone 4,Post-undergraduate degree,20,Managerial and Professional,0,Less than 2,No,64000.00,$50 - $74
4979-WSWKYV-BSV,Female,44,35-49,14.8,American Express,9,420.48,None,2.11,Car,21,Mastercard,8,364.58,Other,Unmarried,Rent,Multiple-Family,3,Own,Zone 2,Some college,15,Service,7,6 to 10,No,31000.00,$25 - $49
7245-IUATZR-VLV,Male,30,25-34,14.5,Visa,10,263.55,Other,0.8,Car,21,Discover,4,105.02,Gold,Married,Rent,Single-family,5,Own,Zone 5,High school degree,12,Sales and Office,1,Less than 2,No,18000.00,Under $25
2041-WAUPOH-84L,Male,44,35-49,3.1,Visa,10,321.19,Gold,0.15,Train/Subway,32,Mastercard,3,110.03,Platinum,Unmarried,Rent,Multiple-Family,2,Own,Zone 1,Did not complete high school,8,Sales and Office,9,6 to 10,No,41000.00,$25 - $49
5472-GUGMBS-ZVK,Female,21,18-24,2.7,Other,16,461.03,None,0.28,Car,29,Mastercard,7,174.36,None,Married,Own,Condominium/Townhouse,3,Own,Zone 3,High school degree,12,Service,1,Less than 2,No,22000.00,Under $25
1811-FUILIP-L3S,Female,62,50-64,15,Visa,7,79.75,Gold,0.58,Car,18,Mastercard,1,15.58,Platinum,Married,Own,Condominium/Townhouse,3,Lease,Zone 3,Did not complete high school,9,"Precision Production, Craft, Repair",31,More than 15,Yes,14000.00,Under $25
2687-GRSYRT-YRW,Male,33,25-34,6.9,American Express,9,328.19,Gold,3.75,Car,30,Discover,4,145.98,Gold,Married,Own,Single-family,2,Lease,Zone 4,High school degree,14,Sales and Office,4,2 to 5,No,82000.00,$75 - $124
9184-ABVZGX-Z4V,Male,65,>65,0.3,American Express,11,451.73,Platinum,0.09,Train/Subway,17,Discover,2,90.42,Other,Unmarried,Own,Single-family,1,Lease,Zone 2,College degree,17,Sales and Office,7,6 to 10,No,91000.00,$75 - $124
9891-ZXATIA-55Z,Male,38,35-49,4.7,American Express,9,748.95,Gold,0.7,Car,27,Visa,2,164.71,Platinum,Married,Own,Single-family,5,Own,Zone 3,Some college,16,"Operation, Fabrication, General Labor",10,6 to 10,No,74000.00,$50 - $74
6246-WBWHHS-GFB,Female,34,25-34,2.1,American Express,6,141.63,Gold,0.36,Car,28,Discover,5,83.39,Other,Unmarried,Own,Single-family,3,Own,Zone 4,Some college,15,Sales and Office,3,2 to 5,No,46000.00,$25 - $49
2212-AOYDMW-0ZV,Male,78,>65,8.2,Discover,9,242.81,Gold,0.31,Bus,25,Mastercard,9,171.27,Platinum,Married,Own,Mobile Home,2,Lease,Zone 2,Post-undergraduate degree,20,Managerial and Professional,13,11 to 15,Yes,14000.00,Under $25
8268-VLELYK-IJK,Female,47,35-49,22,Visa,16,528.81,Other,5.4,Car,26,Mastercard,7,306.53,Other,Unmarried,Own,Single-family,4,Own,Zone 5,Did not complete high school,10,Service,17,More than 15,No,68000.00,$50 - $74
6023-TINSQC-7T4,Female,60,50-64,7.2,American Express,9,1260.83,Gold,1.5,Car,30,Mastercard,3,400.61,None,Married,Rent,Multiple-Family,2,Own,Zone 3,College degree,19,"Operation, Fabrication, General Labor",22,More than 15,No,101000.00,$75 - $124
2332-AAKERL-PNS,Female,61,50-64,9.1,Visa,13,296.33,Gold,4.09,Car,28,Discover,2,78.97,Gold,Married,Own,Single-family,2,Own,Zone 3,College degree,17,Managerial and Professional,7,6 to 10,No,121000.00,$75 - $124
8888-ERPHEF-H3V,Female,77,>65,15.3,Mastercard,5,91.4,Gold,0.87,Walk,30,Visa,1,17.05,Other,Unmarried,Rent,Multiple-Family,2,Lease,Zone 4,Did not complete high school,11,Service,23,More than 15,Yes,19000.00,Under $25
0213-HSPXOI-LYR,Female,21,18-24,13.5,Discover,17,545.92,None,1.23,Bus,31,Visa,7,211.87,Other,Married,Own,Condominium/Townhouse,2,Own,Zone 5,Some college,16,"Precision Production, Craft, Repair",0,Less than 2,No,30000.00,$25 - $49
9095-NXHCNI-HXG,Female,31,25-34,2.1,Discover,10,308.96,Other,0.71,Bus,37,Visa,3,69.09,Gold,Unmarried,Rent,Multiple-Family,3,Own,Zone 3,College degree,19,Managerial and Professional,1,Less than 2,No,43000.00,$25 - $49
4115-RQKQTM-RXB,Male,74,>65,1.4,Other,8,241.67,Platinum,0.05,Car,32,American Express,5,157.61,Platinum,Unmarried,Rent,Single-family,7,Lease,Zone 1,Did not complete high school,11,Managerial and Professional,26,More than 15,Yes,18000.00,Under $25
4730-MCQYEE-7XQ,Female,27,25-34,16.4,Discover,12,388.44,None,1.37,Car,27,Visa,2,61.86,Platinum,Married,Rent,Multiple-Family,2,Own,Zone 4,Post-undergraduate degree,20,Sales and Office,0,Less than 2,No,42000.00,$25 - $49
4048-TDAQGT-9Y6,Male,64,50-64,11.7,American Express,9,784.81,Platinum,15.53,Telecommute,23,Visa,2,121.16,Other,Married,Rent,Multiple-Family,2,Own,Zone 1,Did not complete high school,10,"Operation, Fabrication, General Labor",36,More than 15,No,327000.00,$125+
4336-AZJUON-KO0,Male,72,>65,6.9,Visa,6,88.78,Gold,0.18,Car,20,Discover,1,14.97,Gold,Married,Own,Condominium/Townhouse,2,Own,Zone 5,College degree,18,Managerial and Professional,9,6 to 10,No,30000.00,$25 - $49
5495-XNMJLP-GBP,Male,66,>65,15.6,Visa,13,420.63,Platinum,8.33,Car,31,Mastercard,7,183.13,None,Married,Own,Single-family,2,Own,Zone 4,Some college,16,Managerial and Professional,21,More than 15,Yes,96000.00,$75 - $124
9844-JTMVSQ-J5G,Male,55,50-64,10.9,American Express,11,995.5,None,9.66,Car,23,Discover,6,636.02,Platinum,Unmarried,Own,Condominium/Townhouse,5,Own,Zone 3,Some college,16,"Precision Production, Craft, Repair",29,More than 15,No,143000.00,$125+
6960-IEHYJM-SCB,Female,20,18-24,6.8,Discover,5,99.34,Other,0.91,Car,32,Visa,6,109.84,Platinum,Unmarried,Rent,Multiple-Family,2,Own,Zone 5,Some college,15,Sales and Office,0,Less than 2,No,25000.00,$25 - $49
2566-HGSGRK-ROU,Male,59,50-64,6.5,Discover,8,602.67,Platinum,2.15,Car,18,American Express,4,236.47,None,Unmarried,Rent,Multiple-Family,3,Own,Zone 3,College degree,18,Sales and Office,7,6 to 10,No,68000.00,$50 - $74
7164-HJCLUK-29N,Female,69,>65,12.7,Discover,10,364.94,Gold,6.69,Motorcycle,23,Mastercard,4,138.22,Platinum,Married,Rent,Multiple-Family,0,N/A,Zone 3,Did not complete high school,8,Managerial and Professional,16,More than 15,No,78000.00,$75 - $124
6866-MMDIWM-62M,Female,48,35-49,8.6,Visa,8,154.14,Other,0.21,Car,30,Discover,0,0,Other,Married,Own,Single-family,3,Own,Zone 4,College degree,19,Service,9,6 to 10,No,70000.00,$50 - $74
5792-HGZFWY-G4O,Male,60,50-64,3.6,American Express,11,1053.82,Platinum,0.55,Car,19,Discover,7,658.42,Platinum,Unmarried,Own,Single-family,4,Own,Zone 1,High school degree,13,"Operation, Fabrication, General Labor",23,More than 15,No,101000.00,$75 - $124
5106-JWYDFO-SV4,Female,42,35-49,7.6,Discover,10,138.21,Other,2.05,Train/Subway,23,Mastercard,7,168.15,Platinum,Married,Rent,Multiple-Family,1,Own,Zone 2,College degree,19,Sales and Office,2,2 to 5,No,36000.00,$25 - $49
1970-BJAGYZ-XPT,Female,35,35-49,8.2,Visa,15,413.81,Other,1.92,Car,25,Discover,4,175.65,Other,Married,Own,Single-family,3,Own,Zone 5,College degree,19,Sales and Office,2,2 to 5,No,65000.00,$50 - $74
9657-YXCTIN-C43,Male,24,18-24,4.6,Visa,10,214.75,Platinum,0.24,Car,27,Mastercard,5,138.39,Gold,Unmarried,Rent,Multiple-Family,3,Own,Zone 3,Did not complete high school,10,Sales and Office,1,Less than 2,No,20000.00,Under $25
6736-VRQGSL-XIB,Female,25,25-34,8.6,American Express,13,588.16,Platinum,1.32,Walk,21,Discover,7,301.63,Platinum,Married,Rent,Multiple-Family,1,Own,Zone 1,College degree,19,"Operation, Fabrication, General Labor",0,Less than 2,No,40000.00,$25 - $49
0873-MFPTDY-0VU,Male,79,>65,16.8,Visa,7,308.65,Gold,2.49,Car,19,Mastercard,4,231.7,Other,Unmarried,Own,Single-family,2,Own,Zone 3,Some college,16,"Operation, Fabrication, General Labor",42,More than 15,Yes,58000.00,$50 - $74
5469-EPBFHC-7AB,Female,20,18-24,3.7,Other,13,358.42,None,0.57,Train/Subway,35,Mastercard,1,24.92,Other,Married,Own,Condominium/Townhouse,2,Own,Zone 1,Some college,15,Sales and Office,0,Less than 2,No,27000.00,$25 - $49
0095-PSCHMS-FAP,Female,27,25-34,4.2,Visa,13,433.24,Other,0.49,Telecommute,15,Discover,2,74.66,Gold,Married,Own,Single-family,2,Own,Zone 5,College degree,17,"Operation, Fabrication, General Labor",2,2 to 5,No,48000.00,$25 - $49
9589-ZSJHEO-4CY,Male,53,50-64,17.3,American Express,9,727.75,Gold,1.18,Walk,18,Discover,3,244.32,Other,Unmarried,Rent,Condominium/Townhouse,1,Own,Zone 1,High school degree,12,Managerial and Professional,13,11 to 15,No,99000.00,$75 - $124
9389-EPFSXW-ODH,Male,57,50-64,5.9,Visa,15,366.95,Gold,0.61,Car,26,Mastercard,4,186.03,Gold,Unmarried,Own,Multiple-Family,1,Own,Zone 2,High school degree,14,Managerial and Professional,11,11 to 15,No,108000.00,$75 - $124
1738-YXLMSD-AEK,Female,22,18-24,6.1,American Express,11,720.47,Platinum,0.43,Telecommute,22,Discover,4,213.17,Gold,Married,Own,Single-family,0,N/A,Zone 2,College degree,17,"Precision Production, Craft, Repair",0,Less than 2,No,35000.00,$25 - $49
0703-TNYHVE-VIE,Female,73,>65,4.4,Visa,3,57.6,Platinum,0.12,Walk,23,Mastercard,2,32.79,Gold,Unmarried,Rent,Multiple-Family,0,N/A,Zone 2,College degree,19,Sales and Office,12,11 to 15,Yes,10000.00,Under $25
5844-XNHZGX-ZT7,Female,51,50-64,15.7,Discover,16,517.17,None,9.64,Car,30,Visa,5,326.02,Platinum,Married,Own,Single-family,4,Own,Zone 4,Some college,15,Service,20,More than 15,No,174000.00,$125+
0817-TIEORQ-0X3,Female,68,>65,11,Mastercard,10,196.13,Other,0.2,Train/Subway,21,Other,4,87.66,Other,Married,Rent,Multiple-Family,1,Lease,Zone 2,Did not complete high school,6,Sales and Office,7,6 to 10,Yes,9000.00,Under $25
9761-GRUDBV-BVV,Male,69,>65,1.1,American Express,12,286.38,Other,0.01,Car,20,Discover,5,105.67,None,Married,Own,Condominium/Townhouse,4,Own,Zone 2,High school degree,13,Sales and Office,6,6 to 10,Yes,12000.00,Under $25
